POSITION,1,E:\double-sphere data\h1d1-31.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        15,          0.015000001,                  315,                 -336,Mon Apr 22 2019 08:11:08.015000.00,
        16,          0.016000001,                  315,                 -336,Mon Apr 22 2019 08:11:08.016000.00,
        17,          0.017000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.017000.00,
        18,          0.018000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.018000.00,
        19,          0.019000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.019000.00,
        20,          0.020000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.020000.00,
        21,          0.021000001,                  315,                 -336,Mon Apr 22 2019 08:11:08.021000.00,
        22,          0.022000001,                  315,                 -336,Mon Apr 22 2019 08:11:08.022000.00,
        23,          0.023000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.023000.00,
        24,          0.024000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.024000.00,
        25,          0.025000000,                  315,                 -336,Mon Apr 22 2019 08:11:08.025000.00,
        26,          0.026000001,                  315,                 -336,Mon Apr 22 2019 08:11:08.026000.00,
        27,          0.027000001,                  315,                 -341,Mon Apr 22 2019 08:11:08.027000.00,
        28,          0.028000000,                  313,                 -347,Mon Apr 22 2019 08:11:08.028000.00,
        29,          0.029000000,                  312,                 -354,Mon Apr 22 2019 08:11:08.029000.00,
        30,          0.030000000,                  310,                 -361,Mon Apr 22 2019 08:11:08.030000.00,
        31,          0.031000000,                  309,                 -368,Mon Apr 22 2019 08:11:08.031000.00,
        32,          0.032000001,                  308,                 -376,Mon Apr 22 2019 08:11:08.032000.00,
        33,          0.033000001,                  307,                 -384,Mon Apr 22 2019 08:11:08.033000.00,
        34,          0.034000000,                  306,                 -391,Mon Apr 22 2019 08:11:08.034000.00,
        35,          0.035000000,                  305,                 -399,Mon Apr 22 2019 08:11:08.035000.00,
        36,          0.036000000,                  304,                 -407,Mon Apr 22 2019 08:11:08.036000.00,
        37,          0.037000000,                  304,                 -415,Mon Apr 22 2019 08:11:08.037000.00,
        38,          0.038000001,                  303,                 -422,Mon Apr 22 2019 08:11:08.038000.00,
        39,          0.039000001,                  302,                 -430,Mon Apr 22 2019 08:11:08.039000.00,
        40,          0.040000000,                  302,                 -438,Mon Apr 22 2019 08:11:08.040000.00,
        41,          0.041000000,                  301,                 -446,Mon Apr 22 2019 08:11:08.041000.00,
        42,          0.042000000,                  301,                 -454,Mon Apr 22 2019 08:11:08.042000.00,
        43,          0.043000001,                  301,                 -462,Mon Apr 22 2019 08:11:08.043000.00,
        44,          0.044000001,                  301,                 -470,Mon Apr 22 2019 08:11:08.044000.00,
        45,          0.045000000,                  301,                 -478,Mon Apr 22 2019 08:11:08.045000.00,
        46,          0.046000000,                  301,                 -486,Mon Apr 22 2019 08:11:08.046000.00,
        47,          0.047000000,                  301,                 -494,Mon Apr 22 2019 08:11:08.047000.00,
        48,          0.048000000,                  301,                 -502,Mon Apr 22 2019 08:11:08.048000.00,
        49,          0.049000001,                  301,                 -510,Mon Apr 22 2019 08:11:08.049000.00,
        50,          0.050000001,                  302,                 -518,Mon Apr 22 2019 08:11:08.050000.00,
        51,          0.051000000,                  302,                 -526,Mon Apr 22 2019 08:11:08.051000.00,
        52,          0.052000000,                  303,                 -534,Mon Apr 22 2019 08:11:08.052000.00,
        53,          0.053000000,                  303,                 -542,Mon Apr 22 2019 08:11:08.053000.00,
        54,          0.054000000,                  304,                 -550,Mon Apr 22 2019 08:11:08.054000.00,
        55,          0.055000001,                  305,                 -558,Mon Apr 22 2019 08:11:08.055000.00,
        56,          0.056000001,                  306,                 -565,Mon Apr 22 2019 08:11:08.056000.00,
        57,          0.057000000,                  307,                 -573,Mon Apr 22 2019 08:11:08.057000.00,
        58,          0.058000000,                  308,                 -581,Mon Apr 22 2019 08:11:08.058000.00,
        59,          0.059000000,                  309,                 -589,Mon Apr 22 2019 08:11:08.059000.00,
        60,          0.060000001,                  311,                 -596,Mon Apr 22 2019 08:11:08.060000.00,
        61,          0.061000001,                  313,                 -604,Mon Apr 22 2019 08:11:08.061000.00,
        62,          0.062000000,                  314,                 -611,Mon Apr 22 2019 08:11:08.062000.00,
        63,          0.063000000,                  315,                 -618,Mon Apr 22 2019 08:11:08.063000.00,
        64,          0.064000000,                  317,                 -625,Mon Apr 22 2019 08:11:08.064000.00,
        65,          0.065000000,                  318,                 -632,Mon Apr 22 2019 08:11:08.065000.00,
        66,          0.066000001,                  320,                 -639,Mon Apr 22 2019 08:11:08.066000.00,
        67,          0.067000001,                  321,                 -647,Mon Apr 22 2019 08:11:08.067000.00,
        68,          0.068000000,                  323,                 -654,Mon Apr 22 2019 08:11:08.068000.00,
        69,          0.069000000,                  325,                 -660,Mon Apr 22 2019 08:11:08.069000.00,
        70,          0.070000000,                  326,                 -667,Mon Apr 22 2019 08:11:08.070000.00,
        71,          0.071000000,                  328,                 -674,Mon Apr 22 2019 08:11:08.071000.00,
        72,          0.072000001,                  330,                 -681,Mon Apr 22 2019 08:11:08.072000.00,
        73,          0.073000001,                  332,                 -687,Mon Apr 22 2019 08:11:08.073000.00,
        74,          0.074000000,                  335,                 -694,Mon Apr 22 2019 08:11:08.074000.00,
        75,          0.075000000,                  337,                 -700,Mon Apr 22 2019 08:11:08.075000.00,
