POSITION,1,F:\double-sphere data\h3d1-16.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        17,          0.017000000,                  223,                 -373,Fri May 24 2019 19:59:30.017000.00,
        18,          0.018000000,                  223,                 -374,Fri May 24 2019 19:59:30.018000.00,
        19,          0.019000000,                  223,                 -373,Fri May 24 2019 19:59:30.019000.00,
        20,          0.020000000,                  223,                 -373,Fri May 24 2019 19:59:30.020000.00,
        21,          0.021000001,                  224,                 -373,Fri May 24 2019 19:59:30.021000.00,
        22,          0.022000001,                  224,                 -373,Fri May 24 2019 19:59:30.022000.00,
        23,          0.023000000,                  224,                 -373,Fri May 24 2019 19:59:30.023000.00,
        24,          0.024000000,                  224,                 -373,Fri May 24 2019 19:59:30.024000.00,
        25,          0.025000000,                  224,                 -373,Fri May 24 2019 19:59:30.025000.00,
        26,          0.026000001,                  224,                 -373,Fri May 24 2019 19:59:30.026000.00,
        27,          0.027000001,                  224,                 -373,Fri May 24 2019 19:59:30.027000.00,
        28,          0.028000000,                  224,                 -373,Fri May 24 2019 19:59:30.028000.00,
        29,          0.029000000,                  223,                 -375,Fri May 24 2019 19:59:30.029000.00,
        30,          0.030000000,                  222,                 -377,Fri May 24 2019 19:59:30.030000.00,
        31,          0.031000000,                  221,                 -379,Fri May 24 2019 19:59:30.031000.00,
        32,          0.032000001,                  221,                 -380,Fri May 24 2019 19:59:30.032000.00,
        33,          0.033000001,                  220,                 -382,Fri May 24 2019 19:59:30.033000.00,
        34,          0.034000000,                  220,                 -384,Fri May 24 2019 19:59:30.034000.00,
        35,          0.035000000,                  220,                 -386,Fri May 24 2019 19:59:30.035000.00,
        36,          0.036000000,                  220,                 -387,Fri May 24 2019 19:59:30.036000.00,
        37,          0.037000000,                  220,                 -389,Fri May 24 2019 19:59:30.037000.00,
        38,          0.038000001,                  221,                 -390,Fri May 24 2019 19:59:30.038000.00,
        39,          0.039000001,                  221,                 -392,Fri May 24 2019 19:59:30.039000.00,
        40,          0.040000000,                  222,                 -394,Fri May 24 2019 19:59:30.040000.00,
        41,          0.041000000,                  222,                 -395,Fri May 24 2019 19:59:30.041000.00,
        42,          0.042000000,                  223,                 -397,Fri May 24 2019 19:59:30.042000.00,
        43,          0.043000001,                  224,                 -398,Fri May 24 2019 19:59:30.043000.00,
        44,          0.044000001,                  225,                 -400,Fri May 24 2019 19:59:30.044000.00,
        45,          0.045000000,                  227,                 -401,Fri May 24 2019 19:59:30.045000.00,
        46,          0.046000000,                  228,                 -403,Fri May 24 2019 19:59:30.046000.00,
        47,          0.047000000,                  230,                 -405,Fri May 24 2019 19:59:30.047000.00,
        48,          0.048000000,                  231,                 -406,Fri May 24 2019 19:59:30.048000.00,
        49,          0.049000001,                  233,                 -408,Fri May 24 2019 19:59:30.049000.00,
        50,          0.050000001,                  235,                 -410,Fri May 24 2019 19:59:30.050000.00,
        51,          0.051000000,                  237,                 -412,Fri May 24 2019 19:59:30.051000.00,
        52,          0.052000000,                  240,                 -414,Fri May 24 2019 19:59:30.052000.00,
        53,          0.053000000,                  242,                 -416,Fri May 24 2019 19:59:30.053000.00,
        54,          0.054000000,                  245,                 -419,Fri May 24 2019 19:59:30.054000.00,
        55,          0.055000001,                  247,                 -421,Fri May 24 2019 19:59:30.055000.00,
        56,          0.056000001,                  250,                 -423,Fri May 24 2019 19:59:30.056000.00,
        57,          0.057000000,                  252,                 -426,Fri May 24 2019 19:59:30.057000.00,
        58,          0.058000000,                  255,                 -429,Fri May 24 2019 19:59:30.058000.00,
        59,          0.059000000,                  258,                 -432,Fri May 24 2019 19:59:30.059000.00,
        60,          0.060000001,                  261,                 -435,Fri May 24 2019 19:59:30.060000.00,
        61,          0.061000001,                  264,                 -438,Fri May 24 2019 19:59:30.061000.00,
        62,          0.062000000,                  267,                 -441,Fri May 24 2019 19:59:30.062000.00,
        63,          0.063000000,                  270,                 -444,Fri May 24 2019 19:59:30.063000.00,
        64,          0.064000000,                  273,                 -448,Fri May 24 2019 19:59:30.064000.00,
        65,          0.065000000,                  276,                 -451,Fri May 24 2019 19:59:30.065000.00,
        66,          0.066000001,                  279,                 -455,Fri May 24 2019 19:59:30.066000.00,
