POSITION,1,F:\double-sphere data\h4s1-4.avi,ft,0,0,1,
  ImageNr.,        TimeFromTrig.,                   X0,                   Y0,                    Absolute Time,
        11,          0.011000000,                  303,                 -326,Thu May 23 2019 05:35:59.011000.00,
        12,          0.012000000,                  303,                 -326,Thu May 23 2019 05:35:59.012000.00,
        13,          0.013000000,                  303,                 -326,Thu May 23 2019 05:35:59.013000.00,
        14,          0.014000000,                  303,                 -326,Thu May 23 2019 05:35:59.014000.00,
        15,          0.015000001,                  303,                 -326,Thu May 23 2019 05:35:59.015000.00,
        16,          0.016000001,                  304,                 -330,Thu May 23 2019 05:35:59.016000.00,
        17,          0.017000000,                  306,                 -336,Thu May 23 2019 05:35:59.017000.00,
        18,          0.018000000,                  307,                 -341,Thu May 23 2019 05:35:59.018000.00,
        19,          0.019000000,                  308,                 -347,Thu May 23 2019 05:35:59.019000.00,
        20,          0.020000000,                  309,                 -352,Thu May 23 2019 05:35:59.020000.00,
        21,          0.021000001,                  311,                 -358,Thu May 23 2019 05:35:59.021000.00,
        22,          0.022000001,                  312,                 -363,Thu May 23 2019 05:35:59.022000.00,
        23,          0.023000000,                  314,                 -369,Thu May 23 2019 05:35:59.023000.00,
        24,          0.024000000,                  315,                 -374,Thu May 23 2019 05:35:59.024000.00,
        25,          0.025000000,                  316,                 -380,Thu May 23 2019 05:35:59.025000.00,
        26,          0.026000001,                  318,                 -386,Thu May 23 2019 05:35:59.026000.00,
        27,          0.027000001,                  319,                 -391,Thu May 23 2019 05:35:59.027000.00,
        28,          0.028000000,                  321,                 -397,Thu May 23 2019 05:35:59.028000.00,
        29,          0.029000000,                  322,                 -403,Thu May 23 2019 05:35:59.029000.00,
        30,          0.030000000,                  324,                 -409,Thu May 23 2019 05:35:59.030000.00,
        31,          0.031000000,                  325,                 -414,Thu May 23 2019 05:35:59.031000.00,
        32,          0.032000001,                  327,                 -420,Thu May 23 2019 05:35:59.032000.00,
        33,          0.033000001,                  328,                 -426,Thu May 23 2019 05:35:59.033000.00,
        34,          0.034000000,                  330,                 -431,Thu May 23 2019 05:35:59.034000.00,
        35,          0.035000000,                  331,                 -437,Thu May 23 2019 05:35:59.035000.00,
        36,          0.036000000,                  333,                 -443,Thu May 23 2019 05:35:59.036000.00,
        37,          0.037000000,                  334,                 -448,Thu May 23 2019 05:35:59.037000.00,
        38,          0.038000001,                  336,                 -454,Thu May 23 2019 05:35:59.038000.00,
        39,          0.039000001,                  337,                 -460,Thu May 23 2019 05:35:59.039000.00,
        40,          0.040000000,                  339,                 -465,Thu May 23 2019 05:35:59.040000.00,
        41,          0.041000000,                  340,                 -471,Thu May 23 2019 05:35:59.041000.00,
        42,          0.042000000,                  342,                 -476,Thu May 23 2019 05:35:59.042000.00,
        43,          0.043000001,                  343,                 -482,Thu May 23 2019 05:35:59.043000.00,
        44,          0.044000001,                  344,                 -487,Thu May 23 2019 05:35:59.044000.00,
        45,          0.045000000,                  346,                 -492,Thu May 23 2019 05:35:59.045000.00,
        46,          0.046000000,                  347,                 -498,Thu May 23 2019 05:35:59.046000.00,
        47,          0.047000000,                  348,                 -503,Thu May 23 2019 05:35:59.047000.00,
        48,          0.048000000,                  350,                 -509,Thu May 23 2019 05:35:59.048000.00,
        49,          0.049000001,                  351,                 -514,Thu May 23 2019 05:35:59.049000.00,
        50,          0.050000001,                  352,                 -519,Thu May 23 2019 05:35:59.050000.00,
        51,          0.051000000,                  354,                 -525,Thu May 23 2019 05:35:59.051000.00,
        52,          0.052000000,                  355,                 -530,Thu May 23 2019 05:35:59.052000.00,
        53,          0.053000000,                  356,                 -535,Thu May 23 2019 05:35:59.053000.00,
        54,          0.054000000,                  358,                 -541,Thu May 23 2019 05:35:59.054000.00,
        55,          0.055000001,                  359,                 -546,Thu May 23 2019 05:35:59.055000.00,
        56,          0.056000001,                  361,                 -551,Thu May 23 2019 05:35:59.056000.00,
        57,          0.057000000,                  362,                 -556,Thu May 23 2019 05:35:59.057000.00,
        58,          0.058000000,                  363,                 -562,Thu May 23 2019 05:35:59.058000.00,
        59,          0.059000000,                  365,                 -567,Thu May 23 2019 05:35:59.059000.00,
        60,          0.060000001,                  366,                 -572,Thu May 23 2019 05:35:59.060000.00,
        61,          0.061000001,                  367,                 -577,Thu May 23 2019 05:35:59.061000.00,
        62,          0.062000000,                  368,                 -582,Thu May 23 2019 05:35:59.062000.00,
        63,          0.063000000,                  370,                 -587,Thu May 23 2019 05:35:59.063000.00,
        64,          0.064000000,                  371,                 -592,Thu May 23 2019 05:35:59.064000.00,
        65,          0.065000000,                  372,                 -597,Thu May 23 2019 05:35:59.065000.00,
        66,          0.066000001,                  373,                 -602,Thu May 23 2019 05:35:59.066000.00,
        67,          0.067000001,                  374,                 -607,Thu May 23 2019 05:35:59.067000.00,
        68,          0.068000000,                  376,                 -612,Thu May 23 2019 05:35:59.068000.00,
        69,          0.069000000,                  377,                 -617,Thu May 23 2019 05:35:59.069000.00,
        70,          0.070000000,                  378,                 -622,Thu May 23 2019 05:35:59.070000.00,
        71,          0.071000000,                  380,                 -627,Thu May 23 2019 05:35:59.071000.00,
        72,          0.072000001,                  381,                 -632,Thu May 23 2019 05:35:59.072000.00,
